Trip_id,user_id,start_date,end_date,province
0106,0012,2021-11-27,2021-11-28,"Nakhon Pathom, Pathum Thani, Phra Nakhon Si Ayutthaya, Samut Prakan, Suphan Buri"
0107,0012,2021-12-25,2021-12-25,Phra Nakhon Si Ayutthaya
0108,0012,2021-12-28,2021-12-29,"Chai Nat, Kanchanaburi, Nakhon Pathom, Sing Buri, Suphan Buri"
0109,0012,2021-12-30,2021-12-31,"Nakhon Pathom, Samut Prakan"
0110,0012,2021-12-31,2022-01-01,"Bangkok, Nakhon Pathom, Pathum Thani, Samut Prakan"
0111,0012,2022-01-01,2022-01-01,"Bangkok, Nakhon Pathom"
0112,0012,2022-01-01,2022-01-01,Nakhon Pathom
0113,0012,2022-01-01,2022-01-02,"Kanchanaburi, Nakhon Pathom, Samut Sakhon, Samut Songkhram, Suphan Buri"
0114,0012,2022-01-02,2022-01-02,"Ang Thong, Bangkok, Nakhon Pathom, Phra Nakhon Si Ayutthaya, Suphan Buri"
0115,0012,2022-01-03,2022-01-03,Sing Buri
0116,0012,2022-01-03,2022-01-03,"Nakhon Pathom, Phra Nakhon Si Ayutthaya"
0117,0012,2022-01-04,2022-01-04,"Pathum Thani, Suphan Buri"
0118,0012,2022-01-04,2022-01-04,Phra Nakhon Si Ayutthaya
0119,0012,2022-01-05,2022-01-06,"Nakhon Pathom, Suphan Buri"
0120,0012,2022-01-06,2022-01-06,"Bangkok, Phra Nakhon Si Ayutthaya, Suphan Buri"
0121,0012,2022-01-07,2022-01-07,"Chiang Mai, Lampang"
0122,0012,2022-01-08,2022-01-08,"Bangkok, Chiang Mai"
0123,0012,2022-01-08,2022-01-09,"Nakhon Pathom, Samut Sakhon"
0124,0013,2021-01-02,2021-01-04,"Nakhon Pathom, Phetchaburi, Ratchaburi, Samut Sakhon, Samut Songkhram"
0125,0013,2021-01-05,2021-01-06,"Pathum Thani, Samut Prakan"
0126,0013,2021-01-06,2021-01-28,"Chachoengsao, Samut Prakan"
0127,0013,2021-02-26,2021-02-26,Samut Prakan
0128,0013,2021-06-13,2021-06-13,Nonthaburi
0129,0013,2021-08-08,2021-08-09,"Pathum Thani, Samut Prakan"
0130,0013,2021-11-17,2021-11-17,Samut Prakan
0131,0013,2021-11-21,2021-11-21,Nonthaburi
0132,0013,2021-12-20,2021-12-20,"Nonthaburi, Phra Nakhon Si Ayutthaya, Suphan Buri"
0133,0013,2021-12-29,2021-12-30,"Nonthaburi, Pathum Thani"
0134,0013,2021-12-31,2021-12-31,Samut Prakan
0135,0013,2022-01-01,2022-01-01,Samut Prakan
0136,0013,2022-01-02,2022-01-02,Pathum Thani
0137,0013,2022-01-02,2022-01-02,Nonthaburi
0138,0013,2022-01-03,2022-01-03,Pathum Thani
0139,0013,2022-01-05,2022-01-05,"Pathum Thani, Phra Nakhon Si Ayutthaya, Saraburi"
0140,0013,2022-01-06,2022-01-06,Samut Sakhon
0141,0013,2022-01-07,2022-01-07,"Nonthaburi, Pathum Thani, Samut Prakan"
0142,0013,2022-01-08,2022-01-09,"Pathum Thani, Samut Prakan"
0143,0013,2022-01-09,2022-01-09,Nonthaburi
0144,0013,2022-01-10,2022-01-10,Samut Prakan
0145,0014,2021-01-02,2021-01-02,Phra Nakhon Si Ayutthaya
0146,0014,2021-01-03,2021-01-03,Saraburi
0147,0014,2021-01-04,2021-01-06,"Bangkok, Chachoengsao, Chanthaburi, Chon Buri, Nakhon Pathom, Rayong, Samut Prakan, Trat"
0148,0014,2021-02-19,2021-02-19,Bangkok
0149,0014,2021-09-16,2021-09-17,"Bangkok, Samut Sakhon, Samut Songkhram"
0150,0014,2021-11-18,2021-11-18,"Bangkok, Nonthaburi"
0151,0014,2021-12-15,2021-12-15,Bangkok
0152,0014,2021-12-15,2021-12-28,"Bangkok, Samut Sakhon, Saraburi"
0153,0014,2021-12-29,2021-12-29,Saraburi
0154,0014,2021-12-31,2021-12-31,"Bangkok, Nakhon Pathom, Nonthaburi"
0155,0014,2021-12-31,2021-12-31,Nonthaburi
0156,0014,2022-01-01,2022-01-01,"Chai Nat, Lop Buri, Nakhon Sawan, Nonthaburi, Saraburi, Sing Buri"
0157,0014,2022-01-02,2022-01-02,Chai Nat
0158,0014,2022-01-02,2022-01-02,Sing Buri
0159,0014,2022-01-02,2022-01-02,"Bangkok, Nonthaburi"
0160,0014,2022-01-03,2022-01-03,Bangkok
0161,0015,2021-01-02,2021-01-03,"Bangkok, Samut Prakan"
0162,0015,2021-01-03,2021-01-03,Chon Buri
0163,0015,2021-09-24,2021-09-24,Chanthaburi
0164,0015,2021-11-06,2021-11-07,"Chanthaburi, Chon Buri, Rayong"
0165,0015,2021-11-07,2021-11-07,Samut Prakan
0166,0015,2021-12-15,2021-12-15,Prachin Buri
0167,0016,2021-01-10,2021-01-10,Lampang
0168,0016,2021-08-10,2021-08-10,"Lampang, Lamphun"
0169,0016,2021-08-10,2021-08-11,"Lampang, Phitsanulok, Sukhothai"
0170,0016,2021-12-17,2021-12-17,"Lampang, Phrae"
0171,0016,2021-12-21,2021-12-22,"Bangkok, Chachoengsao, Chon Buri, Pathum Thani"
0172,0016,2021-12-27,2021-12-27,Lampang
0173,0016,2021-12-30,2021-12-30,"Chiang Rai, Lamphun"
0174,0016,2022-01-01,2022-01-02,"Lampang, Sukhothai"
0175,0016,2022-01-03,2022-01-04,"Lampang, Nakhon Pathom, Nonthaburi, Ratchaburi, Sukhothai"
0176,0016,2022-01-04,2022-01-05,"Chiang Rai, Phayao, Phetchaburi, Phichit, Phitsanulok, Samut Songkhram"
0177,0016,2022-01-05,2022-01-05,Lampang
0178,0016,2022-01-05,2022-01-05,"Bangkok, Pathum Thani, Phayao"
0179,0016,2022-01-05,2022-01-06,"Bangkok, Nonthaburi, Pathum Thani, Samut Prakan, Samut Sakhon"
0180,0016,2022-01-06,2022-01-07,"Chiang Rai, Lamphun, Saraburi"
0181,0016,2022-01-07,2022-01-07,"Lampang, Lamphun"
0182,0016,2022-01-07,2022-01-07,Lampang
0183,0016,2022-01-07,2022-01-08,"Chiang Rai, Lampang, Lamphun"
0184,0016,2022-01-09,2022-01-09,Chiang Rai
0185,0016,2022-01-11,2022-01-11,Lamphun
0186,0016,2022-01-11,2022-01-11,Chiang Rai
0187,0017,2021-01-02,2021-01-02,Nakhon Pathom
0188,0017,2021-08-20,2021-08-20,Pathum Thani
0189,0017,2021-09-17,2021-09-17,Nonthaburi
0190,0017,2021-10-16,2021-10-16,"Pathum Thani, Samut Prakan"
0191,0017,2021-10-22,2021-10-22,Nonthaburi
0192,0017,2021-10-25,2021-10-25,Nakhon Pathom
0193,0017,2021-10-27,2021-10-27,Nakhon Pathom
0194,0017,2021-11-21,2021-11-21,Nonthaburi
0195,0017,2021-12-07,2021-12-07,Nonthaburi
0196,0017,2021-12-23,2021-12-24,"Nonthaburi, Pathum Thani"
0197,0017,2021-12-27,2021-12-28,"Ratchaburi, Samut Sakhon, Samut Songkhram"
0198,0017,2021-12-31,2021-12-31,"Pathum Thani, Phetchaburi, Samut Prakan, Samut Songkhram"
0199,0017,2022-01-01,2022-01-01,Samut Prakan
0200,0017,2022-01-03,2022-01-03,"Nonthaburi, Samut Prakan"
0201,0017,2022-01-03,2022-01-03,"Nonthaburi, Phra Nakhon Si Ayutthaya"
0202,0017,2022-01-05,2022-01-05,Nonthaburi
0203,0017,2022-01-05,2022-01-06,"Chai Nat, Nakhon Pathom, Sing Buri, Suphan Buri"
0204,0018,2021-01-07,2021-01-08,"Ratchaburi, Samut Sakhon, Suphan Buri"
0205,0018,2021-06-06,2021-06-07,"Nakhon Pathom, Ratchaburi, Samut Sakhon"
0206,0019,2021-07-19,2021-07-19,Samut Prakan
0207,0019,2021-07-20,2021-07-20,Samut Sakhon
0208,0019,2021-08-20,2021-08-20,Nakhon Pathom
0209,0019,2021-12-30,2021-12-31,"Kanchanaburi, Nakhon Pathom"
0210,0019,2021-12-31,2021-12-31,Samut Sakhon
0211,0019,2021-12-31,2021-12-31,"Samut Sakhon, Saraburi"
0212,0019,2021-12-31,2022-01-01,"Lop Buri, Pathum Thani, Samut Songkhram, Sing Buri"
0213,0019,2022-01-01,2022-01-01,Nakhon Pathom
0214,0019,2022-01-02,2022-01-02,Lampang
0215,0019,2022-01-02,2022-01-03,"Lampang, Pathum Thani, Phayao, Phrae, Samut Sakhon, Samut Songkhram"
0216,0019,2022-01-03,2022-01-03,Phayao
0217,0019,2022-01-03,2022-01-03,Chiang Rai
0218,0020,2021-12-30,2021-12-31,"Nonthaburi, Pathum Thani"
0219,0020,2022-01-01,2022-01-01,"Kanchanaburi, Samut Sakhon, Samut Songkhram, Sing Buri, Suphan Buri"
0220,0020,2022-01-02,2022-01-02,Phetchaburi
0221,0020,2022-01-04,2022-01-04,Samut Sakhon
0222,0021,2021-07-25,2021-07-25,Bangkok
0223,0021,2021-11-21,2021-11-21,Samut Prakan
0224,0021,2021-11-24,2021-11-24,Chanthaburi
0225,0021,2021-12-16,2021-12-16,"Bangkok, Pathum Thani"
0226,0021,2021-12-17,2021-12-27,"Bangkok, Nonthaburi, Phetchaburi, Ratchaburi"
0227,0021,2021-12-29,2021-12-29,Bangkok
0228,0021,2021-12-31,2021-12-31,Chanthaburi
0229,0021,2021-12-31,2022-01-01,"Ang Thong, Phra Nakhon Si Ayutthaya"
0230,0021,2022-01-01,2022-01-02,"Bangkok, Pathum Thani, Prachin Buri"
0231,0021,2022-01-03,2022-01-03,Chon Buri
0232,0021,2022-01-03,2022-01-03,Bangkok
0233,0021,2022-01-03,2022-01-03,"Pathum Thani, Prachin Buri"
0234,0021,2022-01-04,2022-01-04,"Chon Buri, Prachin Buri"
0235,0021,2022-01-04,2022-01-05,"Chanthaburi, Chon Buri, Pathum Thani, Phra Nakhon Si Ayutthaya, Rayong, Samut Prakan"
0236,0021,2022-01-06,2022-01-06,Chon Buri
0237,0021,2022-01-08,2022-01-08,Chanthaburi
0238,0022,2021-01-02,2021-01-02,"Lop Buri, Nakhon Sawan"
0239,0022,2021-03-13,2021-03-13,"Chachoengsao, Chanthaburi, Samut Prakan"
0240,0022,2021-11-17,2021-12-08,"Chai Nat, Chiang Mai, Lampang, Suphan Buri"
0241,0022,2021-12-23,2021-12-25,"Nakhon Pathom, Nonthaburi, Pathum Thani, Phra Nakhon Si Ayutthaya, Ratchaburi, Saraburi, Suphan Buri"
0242,0022,2021-12-27,2021-12-27,Nonthaburi
0243,0022,2021-12-28,2021-12-29,"Pathum Thani, Saraburi"
0244,0022,2021-12-30,2021-12-30,"Nonthaburi, Samut Prakan"
0245,0022,2021-12-31,2021-12-31,"Nonthaburi, Pathum Thani"
0246,0022,2021-12-31,2021-12-31,"Nakhon Pathom, Pathum Thani, Samut Sakhon, Suphan Buri"
0247,0022,2021-12-31,2022-01-01,"Nakhon Pathom, Nonthaburi, Pathum Thani"
0248,0022,2022-01-01,2022-01-01,"Pathum Thani, Samut Prakan"
0249,0022,2022-01-01,2022-01-02,"Nakhon Pathom, Pathum Thani, Samut Sakhon"
0250,0022,2022-01-02,2022-01-02,Ratchaburi
0251,0022,2022-01-02,2022-01-02,Kanchanaburi
0252,0022,2022-01-02,2022-01-02,Samut Prakan
0253,0022,2022-01-02,2022-01-02,"Samut Prakan, Samut Sakhon"
0254,0022,2022-01-02,2022-01-02,Chachoengsao
0255,0022,2022-01-03,2022-01-03,Nakhon Pathom
0256,0023,2021-05-14,2021-05-14,Chachoengsao
0257,0023,2021-06-13,2021-06-13,Chachoengsao
0258,0023,2021-06-22,2021-06-22,Chachoengsao
0259,0023,2021-11-24,2021-11-24,Rayong
0260,0023,2021-11-25,2021-11-26,"Chanthaburi, Rayong"
0261,0023,2021-11-29,2021-11-29,"Bangkok, Samut Prakan"
0262,0023,2021-12-26,2021-12-26,Rayong
0263,0023,2021-12-29,2021-12-29,Rayong
0264,0023,2021-12-30,2021-12-30,Rayong
0265,0023,2021-12-31,2021-12-31,"Chachoengsao, Nonthaburi, Sing Buri"
0266,0023,2021-12-31,2022-01-01,"Lop Buri, Rayong"
0267,0023,2022-01-01,2022-01-01,Bangkok
0268,0023,2022-01-01,2022-01-01,"Chanthaburi, Rayong"
0269,0023,2022-01-02,2022-01-02,"Phichit, Phitsanulok, Suphan Buri"
0270,0023,2022-01-02,2022-01-03,"Chanthaburi, Nakhon Sawan, Phichit, Phra Nakhon Si Ayutthaya"
0271,0023,2022-01-03,2022-01-03,Chanthaburi
0272,0023,2022-01-04,2022-01-05,"Bangkok, Nonthaburi, Rayong"
0273,0023,2022-01-06,2022-01-06,Chanthaburi
0274,0023,2022-01-07,2022-01-07,Rayong
0275,0023,2022-01-07,2022-01-07,Rayong
0276,0024,2021-11-10,2021-11-10,Chiang Rai
0277,0024,2021-11-21,2021-11-21,Lampang
0278,0024,2021-12-08,2021-12-14,"Bangkok, Chiang Rai, Pathum Thani, Phayao"
0279,0024,2021-12-15,2021-12-15,Lamphun
0280,0024,2021-12-16,2021-12-16,Chiang Rai
0281,0024,2021-12-25,2021-12-28,"Bangkok, Lampang, Lamphun, Pathum Thani, Saraburi"
0282,0024,2021-12-30,2021-12-30,"Chiang Rai, Phayao"
0283,0024,2021-12-31,2022-01-01,"Chachoengsao, Samut Prakan"
0284,0024,2022-01-01,2022-01-01,Bangkok
0285,0024,2022-01-02,2022-01-02,Nonthaburi
0286,0024,2022-01-02,2022-01-02,"Lampang, Phayao, Phrae"
0287,0024,2022-01-02,2022-01-02,"Chiang Rai, Lampang"
0288,0024,2022-01-02,2022-01-02,"Lampang, Phayao"
0289,0024,2022-01-03,2022-01-04,"Bangkok, Nonthaburi"
0290,0024,2022-01-05,2022-01-06,"Lampang, Phitsanulok, Sukhothai"
0291,0024,2022-01-07,2022-01-08,"Chiang Rai, Phayao"
0292,0024,2022-01-08,2022-01-08,Lamphun
0293,0025,2021-01-02,2021-01-02,Bangkok
0294,0025,2021-08-06,2021-08-06,Chachoengsao
0295,0025,2021-11-29,2021-12-01,"Ang Thong, Bangkok, Pathum Thani, Phra Nakhon Si Ayutthaya, Saraburi, Suphan Buri"
0296,0025,2021-12-03,2021-12-03,Bangkok
0297,0025,2021-12-04,2021-12-05,"Chachoengsao, Prachin Buri"
0298,0025,2021-12-23,2021-12-23,"Bangkok, Nakhon Pathom, Ratchaburi"
0299,0025,2021-12-30,2021-12-30,Bangkok
0300,0025,2021-12-31,2022-01-01,"Bangkok, Nakhon Pathom, Samut Sakhon"
0301,0025,2022-01-02,2022-01-03,"Bangkok, Chachoengsao, Pathum Thani"
0302,0025,2022-01-04,2022-01-05,"Bangkok, Pathum Thani"
0303,0025,2022-01-05,2022-01-05,"Bangkok, Samut Sakhon"
0304,0026,2021-08-31,2021-09-01,"Pathum Thani, Samut Prakan, Saraburi"
0305,0026,2021-09-03,2021-09-03,"Pathum Thani, Saraburi"
0306,0027,2021-12-27,2021-12-27,"Chai Nat, Nakhon Sawan"
0307,0027,2021-12-28,2021-12-28,Prachin Buri
0308,0027,2021-12-29,2021-12-29,Chanthaburi
0309,0027,2021-12-30,2021-12-30,"Kanchanaburi, Nakhon Pathom"
0310,0027,2022-01-01,2022-01-01,Samut Prakan
0311,0027,2022-01-01,2022-01-01,Bangkok
0312,0027,2022-01-02,2022-01-02,Chon Buri
0313,0027,2022-01-02,2022-01-04,"Bangkok, Nonthaburi, Pathum Thani, Samut Prakan, Saraburi"
0314,0027,2022-01-04,2022-01-04,"Chanthaburi, Pathum Thani"
0315,0027,2022-01-04,2022-01-04,"Bangkok, Chanthaburi"
0316,0027,2022-01-04,2022-01-05,"Nakhon Pathom, Samut Prakan"
0317,0027,2022-01-05,2022-01-06,"Chon Buri, Prachin Buri, Rayong, Samut Prakan"
0318,0027,2022-01-06,2022-01-07,"Bangkok, Nakhon Pathom, Nonthaburi, Ratchaburi, Samut Prakan, Samut Sakhon, Suphan Buri"
0319,0027,2022-01-07,2022-01-08,"Bangkok, Chiang Mai, Lamphun, Nakhon Pathom, Nonthaburi, Samut Prakan"
0320,0027,2022-01-09,2022-01-09,"Phetchaburi, Ratchaburi"
0321,0027,2022-01-10,2022-01-11,"Bangkok, Nakhon Pathom, Samut Sakhon"
0322,0028,2021-11-17,2021-11-17,"Bangkok, Pathum Thani"
0323,0028,2021-12-17,2021-12-17,Nakhon Sawan
0324,0028,2021-12-29,2021-12-29,Phitsanulok
0325,0028,2021-12-30,2021-12-30,Nakhon Sawan
0326,0028,2021-12-31,2022-01-01,"Bangkok, Nonthaburi, Samut Sakhon, Samut Songkhram"
0327,0028,2022-01-01,2022-01-01,Nakhon Sawan
0328,0028,2022-01-01,2022-01-02,"Nakhon Pathom, Nakhon Sawan, Samut Sakhon"
0329,0028,2022-01-02,2022-01-02,"Bangkok, Pathum Thani"
0330,0028,2022-01-02,2022-01-02,Phitsanulok
0331,0028,2022-01-03,2022-01-03,Phitsanulok
0332,0028,2022-01-03,2022-01-04,"Kanchanaburi, Nakhon Sawan, Phitsanulok, Ratchaburi"
0333,0028,2022-01-04,2022-01-04,"Chiang Mai, Chiang Rai"
0334,0029,2021-01-02,2021-09-18,"Bangkok, Chachoengsao, Chanthaburi, Rayong, Trat"
0335,0029,2021-09-20,2021-09-20,Chachoengsao
0336,0029,2021-12-30,2021-12-30,Bangkok
0337,0029,2021-12-30,2021-12-30,Chachoengsao
0338,0029,2021-12-31,2021-12-31,Bangkok
0339,0029,2021-12-31,2021-12-31,Bangkok
0340,0029,2021-12-31,2021-12-31,Bangkok
0341,0029,2022-01-01,2022-01-01,Pathum Thani
0342,0029,2022-01-01,2022-01-01,Chachoengsao
0343,0029,2022-01-02,2022-01-02,Bangkok
0344,0029,2022-01-02,2022-01-02,"Bangkok, Nonthaburi, Pathum Thani"
0345,0029,2022-01-03,2022-01-03,Pathum Thani
0346,0029,2022-01-04,2022-01-04,Bangkok
0347,0029,2022-01-04,2022-01-05,"Bangkok, Pathum Thani, Saraburi"
0348,0030,2021-07-03,2021-07-03,"Kanchanaburi, Suphan Buri"
0349,0030,2021-11-21,2021-11-21,"Chai Nat, Sing Buri"
0350,0031,2021-12-27,2021-12-27,Pathum Thani
0351,0031,2021-12-28,2021-12-28,"Nakhon Pathom, Nonthaburi"
0352,0031,2021-12-30,2021-12-30,Samut Prakan
0353,0031,2021-12-31,2021-12-31,Nonthaburi
0354,0031,2022-01-01,2022-01-01,Samut Sakhon
0355,0031,2022-01-01,2022-01-02,"Kanchanaburi, Phetchaburi, Ratchaburi, Samut Prakan"
0356,0031,2022-01-02,2022-01-02,"Ratchaburi, Samut Sakhon"
0357,0031,2022-01-02,2022-01-02,Samut Sakhon
0358,0031,2022-01-03,2022-01-03,"Chachoengsao, Chon Buri"
0359,0031,2022-01-04,2022-01-05,"Nonthaburi, Pathum Thani, Phra Nakhon Si Ayutthaya, Saraburi"
0360,0031,2022-01-05,2022-01-06,"Chai Nat, Lop Buri, Nakhon Sawan, Pathum Thani"
0361,0031,2022-01-06,2022-01-06,Sing Buri
0362,0032,2021-01-02,2021-07-14,"Bangkok, Samut Sakhon"
0363,0032,2021-07-16,2021-07-16,Phra Nakhon Si Ayutthaya
0364,0032,2021-09-28,2021-09-28,Pathum Thani
0365,0032,2021-11-22,2021-11-22,"Pathum Thani, Saraburi"
0366,0032,2021-11-28,2021-11-28,Pathum Thani
0367,0032,2021-12-18,2021-12-18,"Nakhon Pathom, Phetchaburi, Ratchaburi"
0368,0032,2021-12-20,2021-12-20,Nakhon Pathom
0369,0032,2021-12-21,2021-12-21,Nakhon Pathom
0370,0032,2021-12-23,2021-12-23,Nakhon Pathom
0371,0032,2021-12-29,2021-12-30,"Kanchanaburi, Phra Nakhon Si Ayutthaya, Suphan Buri"
0372,0032,2021-12-31,2022-01-01,"Nakhon Pathom, Phra Nakhon Si Ayutthaya, Suphan Buri"
0373,0032,2022-01-01,2022-01-02,"Bangkok, Phra Nakhon Si Ayutthaya, Saraburi"
0374,0032,2022-01-05,2022-01-07,"Bangkok, Phra Nakhon Si Ayutthaya, Samut Prakan"
0375,0032,2022-01-08,2022-01-08,Phra Nakhon Si Ayutthaya
